Year,State,County,County ANSI,Value
2019,INDIANA,OTHER (COMBINED) COUNTIES,,175.4
2019,INDIANA,PORTER,127,181.2
2019,INDIANA,PULASKI,131,161
2019,INDIANA,STARKE,149,146.3
2019,INDIANA,WHITE,181,177.6
2019,INDIANA,CRAWFORD,25,126.4
2019,INDIANA,FLOYD,43,146.4
2019,INDIANA,HARRISON,61,133.9
2019,INDIANA,LAWRENCE,93,130.5
2019,INDIANA,MONROE,105,134
2019,INDIANA,ORANGE,117,152.6
2019,INDIANA,OTHER (COMBINED) COUNTIES,,131.6
2019,INDIANA,WASHINGTON,175,134.3
2019,INDIANA,CLARK,19,132.5
2019,INDIANA,DEARBORN,29,129.4
2019,INDIANA,FRANKLIN,47,152.4
2019,INDIANA,JEFFERSON,77,123.6
2019,INDIANA,JENNINGS,79,135.4
2019,INDIANA,OHIO,115,136.2
2019,INDIANA,OTHER (COMBINED) COUNTIES,,121
2019,INDIANA,SWITZERLAND,155,123.5
2019,INDIANA,DAVIESS,27,168.4
2019,INDIANA,DUBOIS,37,163.6
2019,INDIANA,GIBSON,51,179
2019,INDIANA,GREENE,55,133.8
2019,INDIANA,OTHER (COMBINED) COUNTIES,,166.6
2019,INDIANA,POSEY,129,176.6
2019,INDIANA,SPENCER,147,158.3
2019,INDIANA,SULLIVAN,153,164.8
2019,INDIANA,VANDERBURGH,163,167.7
2019,INDIANA,WARRICK,173,156.5
2019,INDIANA,MONTGOMERY,107,189.9
2019,INDIANA,OTHER (COMBINED) COUNTIES,,163.7
2019,INDIANA,PARKE,121,178.8
2019,INDIANA,PUTNAM,133,179.1
2019,INDIANA,TIPPECANOE,157,180.2
2019,INDIANA,VERMILLION,165,167.2
2019,INDIANA,VIGO,167,171.8
2019,INDIANA,WARREN,171,192.4
2018,INDIANA,BARTHOLOMEW,5,189.3
2018,INDIANA,BOONE,11,198.9
2018,INDIANA,CLINTON,23,213.9
2018,INDIANA,DECATUR,31,206.8
2018,INDIANA,GRANT,53,204.4
2018,INDIANA,HAMILTON,57,174.5
2018,INDIANA,HANCOCK,59,187.5
2018,INDIANA,HENDRICKS,63,206.9
2018,INDIANA,HOWARD,67,215.7
2018,INDIANA,MADISON,95,205.1
2018,INDIANA,MORGAN,109,197
2018,INDIANA,OTHER (COMBINED) COUNTIES,,193.4
2018,INDIANA,RUSH,139,203.9
2018,INDIANA,SHELBY,145,194.3
2018,INDIANA,TIPTON,159,215.5
2018,INDIANA,BLACKFORD,9,201
2018,INDIANA,DELAWARE,35,208.1
2018,INDIANA,FAYETTE,41,198.6
2018,INDIANA,HENRY,65,198.5
2018,INDIANA,JAY,75,188.6
2018,INDIANA,RANDOLPH,135,184.8
2018,INDIANA,UNION,161,203.9
2018,INDIANA,WAYNE,177,191.7
2018,INDIANA,CARROLL,15,204.7
2018,INDIANA,CASS,17,195.5
2018,INDIANA,ELKHART,39,172.5
2018,INDIANA,FULTON,49,187.2
2018,INDIANA,KOSCIUSKO,85,179.8
2018,INDIANA,MARSHALL,99,175.6
2018,INDIANA,MIAMI,103,191.4
2018,INDIANA,ST. JOSEPH,141,164.2
2018,INDIANA,WABASH,169,201.4
2018,INDIANA,ADAMS,1,194.5
2018,INDIANA,ALLEN,3,181.7
2018,INDIANA,DE KALB,33,159.5
